data,artista_podcast,horas
01/09/2021,AC/DC,0.017588055555555555
01/09/2021,AC/DC,0.07264055555555556
01/09/2021,AC/DC,0.084885
01/09/2021,The Rolling Stones,0.0034347222222222223
01/09/2021,The Who,0.10600722222222221
01/09/2021,AC/DC,0.06953694444444444
01/09/2021,AC/DC,0.057888888888888886
01/09/2021,Eric Clapton,0.06539611111111111
01/09/2021,Scorpions,0.11207027777777778
01/09/2021,Queen,0.08235555555555556
01/09/2021,The Who,0.0007822222222222222
01/09/2021,AC/DC,0.001943611111111111
01/09/2021,AC/DC,0.0013983333333333335
01/09/2021,Creedence Clearwater Revival,0.00954361111111111
01/09/2021,The Rolling Stones,0.000711111111111111
01/09/2021,AC/DC,0.0006397222222222222
01/09/2021,The Rolling Stones,0.000711111111111111
01/09/2021,AC/DC,0.0006161111111111111
01/09/2021,Aerosmith,0.0006161111111111111
01/09/2021,Creedence Clearwater Revival,0.0005924999999999999
01/09/2021,Creedence Clearwater Revival,0.0006161111111111111
01/09/2021,Creedence Clearwater Revival,0.0008058333333333333
01/09/2021,Creedence Clearwater Revival,0.0010666666666666667
01/09/2021,Led Zeppelin,0.0006397222222222222
01/09/2021,Led Zeppelin,0.00042638888888888886
01/09/2021,Led Zeppelin,0.0009716666666666666
01/09/2021,AC/DC,0.0005924999999999999
01/09/2021,AC/DC,0.0022516666666666666
01/09/2021,The Rolling Stones,0.0006399999999999999
01/09/2021,The Rolling Stones,0.0006872222222222222
01/09/2021,The Rolling Stones,0.0008530555555555555
01/09/2021,AC/DC,0.0008058333333333333
01/09/2021,AC/DC,0.0009480555555555556
01/09/2021,Led Zeppelin,0.0008769444444444444
01/09/2021,Led Zeppelin,0.0007822222222222222
01/09/2021,Led Zeppelin,0.0005213888888888889
01/09/2021,Led Zeppelin,0.0006397222222222222
01/09/2021,Led Zeppelin,0.000568888888888889
01/09/2021,Led Zeppelin,0.001137777777777778
01/09/2021,Queen,0.0008769444444444444
01/09/2021,The Beatles,0.001256111111111111
01/09/2021,Led Zeppelin,0.0005686111111111111
01/09/2021,AC/DC,0.0006161111111111111
01/09/2021,AC/DC,0.0010902777777777777
01/09/2021,Aerosmith,0.0006399999999999999
01/09/2021,The Beatles,0.0007583333333333333
01/09/2021,AC/DC,0.0007347222222222222
01/09/2021,Queen,0.0009480555555555556
01/09/2021,Eric Clapton,0.0006872222222222222
01/09/2021,Led Zeppelin,0.0016352777777777778
01/09/2021,Arctic Monkeys,0.0014694444444444444
01/09/2021,The Beatles,0.0006397222222222222
01/09/2021,The Beatles,0.0015405555555555556
01/09/2021,Black Sabbath,0.001208888888888889
01/09/2021,Queen,0.0008058333333333333
01/09/2021,Black Sabbath,0.0006397222222222222
01/09/2021,The Rolling Stones,0.0008530555555555555
01/09/2021,Aerosmith,0.0006161111111111111
01/09/2021,AC/DC,0.004083333333333333
01/09/2021,The Beatles,0.0006397222222222222
01/09/2021,Black Sabbath,0.0007583333333333333
01/09/2021,Aerosmith,0.0011613888888888889
01/09/2021,Eric Clapton,0.1085813888888889
01/09/2021,Led Zeppelin,0.002426111111111111
01/09/2021,AC/DC,0.010476944444444445
01/09/2021,Led Zeppelin,0.0007583333333333333
01/09/2021,The Beatles,0.0008294444444444445
01/09/2021,The Beatles,0.0007822222222222222
01/09/2021,Led Zeppelin,0.000545
01/09/2021,The Beatles,0.0005213888888888889
