data,data,nome_da_musica,msPlayed,minutos,horas
2021-01-07,01/07/2021,Fortunate Son (Creedence Clearwater Revival),1230,0.0205,0.00034166666666666666
2021-01-07,01/07/2021,Fire Your Guns (AC/DC),1346,0.022433333333333333,0.0003738888888888889
2021-01-07,01/07/2021,Yesterday     2009 (The Beatles),125666,2.0944333333333334,0.03490722222222222
2021-01-07,01/07/2021,Thunderstruck (AC/DC),292880,4.881333333333333,0.08135555555555556
2021-01-07,01/07/2021,Love Of My Life     2011 (Queen),43306,0.7217666666666667,0.012029444444444445
2021-01-07,01/07/2021,Hell Ain't a Bad Place to Be (AC/DC),22778,0.3796333333333333,0.006327222222222222
2021-01-07,01/07/2021,Since I've Been Loving You     (Led Zeppelin),444800,7.413333333333333,0.12355555555555556
2021-01-07,01/07/2021,Still Loving You (Scorpions),403453,6.724216666666667,0.11207027777777778
2021-01-07,01/07/2021,Heartbreaker     (Led Zeppelin),255506,4.2584333333333335,0.07097388888888889
2021-01-07,01/07/2021,Rain Fall Down     2009 (The Rolling Stones),293800,4.8966666666666665,0.0816111111111111
2021-01-07,01/07/2021,Babe I'm Gonna Leave You     (Led Zeppelin),83508,1.3918,0.023196666666666664
2021-01-07,01/07/2021,"Hey, Hey, What Can I Do     (Led Zeppelin)",236760,3.946,0.06576666666666667
2021-01-07,01/07/2021,Fool in the Rain     (Led Zeppelin),168183,2.80305,0.046717499999999995
2021-01-07,01/07/2021,Under Pressure     2011 (Queen),248440,4.140666666666666,0.0690111111111111
2021-01-07,01/07/2021,Damaged Soul (Black Sabbath),471666,7.8611,0.13101833333333335
2021-01-07,01/07/2021,Out Of Control (The Rolling Stones),283840,4.730666666666667,0.07884444444444445
2021-01-07,01/07/2021,Good Times Bad Times   1993   (Led Zeppelin),166266,2.7711,0.046185000000000004
2021-01-07,01/07/2021,You Shook Me All Night Long (AC/DC),210173,3.502883333333333,0.058381388888888885
2021-01-07,01/07/2021,Wind Of Change (Scorpions),29607,0.49345,0.008224166666666666
2021-01-07,01/07/2021,Harlem Shuffle     2009 (The Rolling Stones),3808,0.06346666666666667,0.001057777777777778
2021-01-07,01/07/2021,Loner (Black Sabbath),299933,4.998883333333334,0.08331472222222222
2021-01-07,01/07/2021,Heartbreaker     (Led Zeppelin),24553,0.4092166666666667,0.0068202777777777775
2021-01-07,01/07/2021,Luv Lies (Aerosmith),3482,0.05803333333333333,0.0009672222222222222
2021-01-07,01/07/2021,Roll Over Beethoven     2009 (The Beatles),3691,0.061516666666666664,0.0010252777777777777
2021-01-07,01/07/2021,Street Fighting Man   50th Anniversary Edition (The Rolling Stones),3808,0.06346666666666667,0.001057777777777778
2021-01-07,01/07/2021,Cryin' (Aerosmith),3459,0.05765,0.0009608333333333333
2021-01-07,01/07/2021,Mistress for Christmas (AC/DC),239520,3.992,0.06653333333333333
2021-01-07,01/07/2021,I Will   2018 Mix (The Beatles),14447,0.24078333333333332,0.004013055555555555
2021-01-07,01/07/2021,That's the Way I Wanna Rock 'N' Roll (AC/DC),225026,3.7504333333333335,0.06250722222222223
2021-01-07,01/07/2021,Houses of the Holy     (Led Zeppelin),4002,0.0667,0.0011116666666666666
2021-01-08,01/08/2021,Houses of the Holy     (Led Zeppelin),9079,0.15131666666666665,0.0025219444444444443
2021-01-08,01/08/2021,Satellite Blues (AC/DC),226333,3.7722166666666666,0.06287027777777777
2021-01-08,01/08/2021,A Hard Day's Night     2009 (The Beatles),5226,0.0871,0.0014516666666666666
2021-01-08,01/08/2021,All My Loving     2009 (The Beatles),2159,0.03598333333333333,0.0005997222222222222
2021-01-08,01/08/2021,You Won't See Me     2009 (The Beatles),2298,0.0383,0.0006383333333333333
2021-01-08,01/08/2021,Sweet Emotion (Aerosmith),1718,0.028633333333333334,0.00047722222222222225
2021-01-08,01/08/2021,Are You Ready (AC/DC),250333,4.1722166666666665,0.06953694444444444
2021-01-08,01/08/2021,Kashmir     (Led Zeppelin),517125,8.61875,0.14364583333333333
2021-01-08,01/08/2021,Don't Stop (The Rolling Stones),239146,3.9857666666666667,0.06642944444444444
2021-01-08,01/08/2021,Road Runner (Aerosmith),224866,3.7477666666666667,0.06246277777777778
2021-01-08,01/08/2021,Dirty Deeds Done Dirt Cheap (AC/DC),231933,3.86555,0.06442583333333333
2021-01-08,01/08/2021,End Of The Beginning (Black Sabbath),486226,8.103766666666667,0.13506277777777778
2021-01-08,01/08/2021,Things We Said Today     2009 (The Beatles),155333,2.5888833333333334,0.04314805555555556
2021-01-08,01/08/2021,Rebel Rebel   2016   (David Bowie),274746,4.5791,0.07631833333333334
2021-01-08,01/08/2021,Do I Wanna Know? (Arctic Monkeys),272394,4.5399,0.07566500000000001
2021-01-08,01/08/2021,Stiff Upper Lip (AC/DC),14125,0.23541666666666666,0.003923611111111111
